code,codeName,category,creator,creatorName,version,current,date,outputName,file,inputRom,inputCrc32,add1,add1Title,add2,add2Title,add3,add3Title,add4,add4Title,url,urlTitle,note,noteType
vpw64st,Virtual Pro Wrestling 64 - English Translation,translation,startrinket,StarTrinket,v1.77,TRUE,20200128,Virtual Pro Wrestling 64 (Japan) [T-En] (StarTrinket),20200128_vpw64st_patch.xdelta,Virtual Pro Wrestling 64 (Japan),0xE6651803,20200128_vpw64st_readme.txt,Readme,,,,,,,https://krikzz.com/forum/index.php?topic=9620.0,https://krikzz.com/forum/index.php?topic=9620.0,"Users of this patch have reported crashes and freezes, use this patch at your own discretion.",warning
revenji,WCW-nWo Revenji,hack,ragdas,ragdas,Release 1,TRUE,20200210,WCW-nWo Revenji (Korea),20200210_revenji_patch.xdelta,WCW-nWo Revenge (USA),0x54CBAAA8,20200210_revenji_readme.txt,Readme,,,,,,,https://vpw.ajworld.net/revenji/,https://vpw.ajworld.net/revenji/,,
summit,SUMMIT Virtual Pro Wrestling Gamma,hack,ragdas,ragdas,Release 1,TRUE,20221021,SUMMIT Virtual Pro Wrestling Gamma (USA),20221021_summit_patch.xdelta,WWF WrestleMania 2000 (USA),0x0B50B4C6,20221021_summit_readme.txt,Readme,,,,,,,https://vpw.ajworld.net/summit/,https://vpw.ajworld.net/summit/,,
outsider,Project Outsider,hack,gmspectre,G.M.Spectre,Beta v0.98,,20221215,Project Outsider (USA) (Beta),20221215_outsider_patch.xdelta,WWF No Mercy (USA),0xB33F44F0,20221215_outsider_readme.txt,Readme,20221215_outsider_replaced_items.txt,Replaced Items,20221215_outsider_fla.fla,FLA Save File,20221215_outsider_mpk.mpk,MPK Save File,https://www.youtube.com/watch?v=gg2mEPNxguc,The intro to Project Outsider.....but something's different,,
lfdt,La Fin Du Tour - Virtual Pro Wrestling Alpha,hack,ragdas,ragdas,Release 1,TRUE,20230221,La Fin Du Tour - Virtual Pro Wrestling Alpha (USA),20230221_lfdt_patch.xdelta,WCW vs. nWo - World Tour (USA) (Rev 1),0xA74DA07A,20230221_lfdt_readme.txt,Readme,,,,,,,https://vpw.ajworld.net/lfdt/,https://vpw.ajworld.net/lfdt/,,
wcwsatnight,WCW Saturday Night,hack,gmspectre,G.M.Spectre,v1.0,,20230815,WCW Saturday Night (USA) (v1.0),20230815_wcwsatnight_patch.xdelta,WWF WrestleMania 2000 (USA),0x0B50B4C6,20230815_wcwsatnight_readme.txt,Readme,20230815_wcwsatnight_updatelist.txt,Update List,,,,,https://www.youtube.com/watch?v=oYoOhNWeHgA,WCW Saturday Night: SK Edition preview - Assorted extra managers,,
salvo,Virtual Pro Wrestling Salvo,hack,ragdas,ragdas,Release 1,TRUE,20240211,Virtual Pro Wrestling Salvo (Japan),20240211_salvo_patch.xdelta,WCW-nWo Revenge (USA),0x54CBAAA8,20240211_salvo_readme.txt,Readme,,,,,,,https://vpw.ajworld.net/salvo/,https://vpw.ajworld.net/salvo/,,
wmx64,WWF Wrestlemania X 64,hack,gmspectre,G.M.Spectre,v1.0,,20240520,WWF Wrestlemania X 64 (USA) (v1.0),20240520_wmx64_patch.xdelta,WWF WrestleMania 2000 (USA),0x0B50B4C6,20240520_wmx64_readme.txt,Readme,20240520_wmx64_updatelist.txt,Update List,,,,,https://www.youtube.com/watch?v=B7iLcAYCtfU,Wrestlemania X: SK Edition - Some entrances with something extra,,
vpw2fe,VPW2 freem Edition - The 90% Release,hack,freem,freem,The 90% Release,TRUE,20240615,Virtual Pro Wrestling 2 - freem Edition (Japan) (The 90% Release),20240615_vpw2fe_patch.xdelta,Virtual Pro Wrestling 2 - Oudou Keishou (Japan),0xF620835D,20240615_vpw2fe_readme.txt,Readme,20240615_vpw2fe_docs.zip,Docs,,,,,https://vpw.ajworld.net/vpw2freem/,https://vpw.ajworld.net/vpw2freem/,,
outsider,Project Outsider,hack,gmspectre,G.M.Spectre,Plus,TRUE,20240902,Project Outsider Plus (USA),20240902_outsider_patch.xdelta,WWF No Mercy (USA),0xB33F44F0,20240902_outsider_readme.txt,Readme,20240902_outsider_replaced_items.txt,Replaced Items,20240902_outsider_fla.fla,FLA Save File,20240902_outsider_fla_alt.fla,FLA Save File (Alt),https://www.youtube.com/watch?v=gg2mEPNxguc,The intro to Project Outsider.....but something's different,The .FLA save found below in Additional Files is required for the complete roster.,info
wm2kv,WWF WrestleMania 2000 (V1.1),improvement,skstylez,S.K. Stylez,v1.1,,20241213,WWF WrestleMania 2000 (USA) (v1.1),20241213_wm2kv_patch.xdelta,WWF WrestleMania 2000 (USA),0x0B50B4C6,20241213_wm2kv_readme.txt,Readme,,,,,,,https://bsky.app/profile/akiclub64.bsky.social,AKI Club on Bluesky,,
